id,sinner,ego,grade,resist_wrath,resist_lust,resist_sloth,resist_gluttony,resist_gloom,resist_pride,resist_envy,cost_wrath,cost_lust,cost_sloth,cost_gluttony,cost_gloom,cost_pride,cost_envy,ovclockcost_wrath,ovclockcost_lust,ovclockcost_sloth,ovclockcost_gluttony,ovclockcost_gloom,ovclockcost_pride,ovclockcost_envy,atkWeight_slash,atkWeight_pierce,atkWeight_blunt,atkWeight_slash_ovclock,atkWeight_pierce_ovclock,atkWeight_blunt_ovclock,passive,burn,burn_cnt,bleed,bleed_cnt,tremor,tremor_cnt,rupture,rupture_cnt,sinking,sinking_cnt,poise,poise_cnt,charge,charge_cnt,info
04E002 ,료슈,4번째 성냥불,HE,내성,보통,취약,보통,취약,보통,견딤,4,0,0,0,0,2,0,6,0,0,0,0,3,0,1,0,0,1,0,0,"4번째로 사용하는 스킬 위력 +4, 적중 시마다 화상 4 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/45
04E003 ,료슈,적안,TETH,보통,내성,보통,취약,보통,취약,보통,0,2,0,2,0,0,1,0,3,0,3,0,0,2,1,0,0,1,0,0,합 승리 시 다음 턴에 속박 1 부여 (턴 당 최대 3회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/46
04E004 ,료슈,적안(開),HE,취약,보통,보통,견딤,보통,취약,보통,2,2,0,0,0,0,3,3,3,0,0,0,0,5,3,0,0,3,0,0,"이번 턴에 최대 체력의 10%를 초과하여 체력을 회복한 경우, 다음 턴에 공격 위력 증가 1 얻음",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/47
04E005 ,료슈,소다,ZAYIN,보통,보통,취약,보통,견딤,보통,취약,0,0,0,2,0,2,2,0,0,0,3,0,3,3,0,1,0,0,1,0,침잠이 5 이상 부여된 적에게 공격 적중 시 수비 위력 감소 1 부여 (턴 당 최대 5회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/48
04E006 ,료슈,맹목,TETH,취약,취약,보통,보통,보통,내성,보통,0,0,0,0,2,2,2,0,0,0,0,3,3,3,2,0,0,2,0,0,오만 속성 스킬 크리티컬 적중 시 호흡 횟수 1 증가 (턴 당 최대 3회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/49
04E007,료슈,"경멸, 경외",WAW,내성,취약,내성,보통,취약,견딤,보통,3,4,0,0,0,4,3,5,6,0,0,0,6,5,1,0,0,1,0,0,"적에게 기본 공격 스킬 사용 시, 자신이 사용한 스킬 속성 외에 제일 적게 보유한 무작위 E.G.O 자원 1개를 추가로 얻음 (턴 당 2회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/79
05E001 ,뫼르소,타인의 사슬,ZAYIN,보통,취약,보통,취약,보통,견딤,보통,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,전투 시작 시 자신이 3개 이상의 스킬의 타겟이 되었다면 보호 3 얻음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/29
05E002 ,뫼르소,나사빠진 일격,TETH,취약,보통,보통,보통,취약,내성,보통,0,0,2,0,0,1,2,0,0,3,0,0,2,3,0,0,1,0,0,1,"체력 25% 미만일 때 본 E.G.O 스킬 사용 시, 매 턴마다 공격 위력 증가, 수비 위력 증가, 신속 3을 얻고 3턴 뒤 사망",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/31
05E003 ,뫼르소,집행,HE,보통,취약,내성,취약,보통,견딤,보통,0,0,4,0,1,2,0,0,0,6,0,2,3,0,0,0,1,0,0,3,"조작 패널에서 가장 왼쪽의 스킬로 합 승리 시, 다음 턴에 무작위 아군에게 공격 위력 증가 1 또는 수비 위력 증가 1 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/30
05E004 ,뫼르소,카포테,HE,내성,취약,보통,견딤,취약,보통,보통,2,1,2,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,1,"전투 시작 시 자신이 2개 이상의 스킬의 타겟이 되었다면, 스킬 위력이 1 증가하고 피격 시 공격자에게 화상 1 부여 (턴 당 최대 5회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/32
05E005 ,뫼르소,후회,TETH,보통,보통,보통,보통,내성,취약,취약,3,0,0,0,0,2,0,5,0,0,0,0,3,0,0,0,1,0,0,1,"자신의 조작 패널에서 가장 왼쪽에 위치한 스킬의 기본 위력 1 감소, 코인 위력 2 증가. 턴 시작 시 속도가 4 이하면, 타격 위력 증가 1 얻음",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/33
05E006 ,뫼르소,전기울음,TETH,보통,보통,취약,보통,취약,보통,내성,1,0,0,0,0,0,4,2,0,0,0,0,0,6,0,2,0,0,2,0,"전투 시작 시 4 공명 이상이 발동되었다면 공격 레벨 증가 2, 방어 레벨 증가 2 얻음. 해당 공명이 질투 공명이라면 자신의 조작 패널 양 옆 아군에게도 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/76
06E001 ,홍루,허환경,ZAYIN,취약,보통,보통,보통,견딤,보통,취약,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"조작 패널에서 가장 높은 자신의 완전 공명 수만큼, 전투 시작 시 정신력이 가장 낮은 아군의 정신력 회복 (패닉 상태의 아군 제외)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/19
06E002 ,홍루,분홍욕망,TETH,취약,내성,보통,보통,보통,취약,보통,0,4,0,0,0,0,2,0,6,0,0,0,0,3,0,1,0,0,1,0,조작 패널에서 가장 왼쪽의 스킬로 공격하는 대상에게 공격 종료 시 다음 턴에 (색욕 완전 공명 수/4)만큼 색욕 취약 부여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/20
06E003 ,홍루,차원찢개,HE,취약,견딤,보통,보통,보통,내성,취약,0,0,0,3,0,3,0,0,0,0,5,0,5,0,1,0,0,1,0,0,"부정적인 효과를 가진 적에게 공격 적중 시 자신의 충전 횟수 1 증가(턴 당 최대 4회). 체력이 0이 될 때 충전을 전부 소모하고, 소모값에 비례해 체력 회복 (전투 당 1회, 최대 전체 체력의 25% 회복)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/21
06E004 ,홍루,소다,TETH,보통,보통,취약,내성,보통,보통,취약,0,0,0,3,2,0,2,0,0,0,5,3,0,3,0,0,2,0,0,2,"적 사망 시 정신력이 가장 낮은 아군 1명의 정신력 1 회복. 적이 사망할 때마다 회복량 2 증가 (최대 9, 웨이브 시작 시 초기화)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/22
06E005 ,홍루,들끓는 부식,HE,보통,취약,취약,보통,내성,보통,견딤,0,0,0,6,1,0,0,0,0,0,9,2,0,0,0,2,0,0,3,0,"피격 시 현재 체력이 최대 체력의 50% 미만이면, 공격자에게 파열 1 부여 (턴 당 가장 많은 탐식 완전 공명 수만큼 발동)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/23
06E006 ,홍루,낮은울음,TETH,보통,취약,내성,보통,보통,보통,취약,0,0,3,0,3,2,0,0,0,5,0,5,3,0,0,0,3,0,0,3,"자신이 적에게 스킬로 진동 폭발 부여 시, 다음 턴에 공격 레벨 감소 1, 방어 레벨 감소 2 부여 (턴 당 최대 3회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/63
07E001 ,히스클리프,시체자루,ZAYIN,보통,취약,보통,취약,보통,보통,견딤,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,"다른 아군이 적을 처치하면, 다음 턴 시작 시 공격 위력 증가 1, 신속 1 얻음 (최대 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/14
07E002 ,히스클리프,전봇대,HE,보통,보통,취약,취약,보통,견딤,내성,3,2,0,0,0,0,3,5,3,0,0,0,0,5,0,3,0,0,3,0,적 처치 시 해당 턴의 (질투 완전 공명 수/2)만큼 충전 횟수 증가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/15
07E003 ,히스클리프,AEDD,TETH,내성,보통,취약,보통,취약,보통,보통,0,0,0,0,3,0,2,0,0,0,0,5,0,3,0,0,1,0,0,1,피격 시 충전 횟수를 1 소모해 최대 체력의 2.5%만큼 체력 회복. 피격 시 체력이 40% 미만인 경우 충전 횟수가 1 증가한 뒤(턴 당 최대 10) 위 효과가 발동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/16
07E004 ,히스클리프,공즉시색,HE,취약,내성,견딤,보통,보통,보통,취약,2,2,2,0,2,0,0,3,3,3,0,3,0,0,0,0,3,0,0,3,"흐트러짐 상태에서 회복될 때, 인격 기본 최대 체력의 15% 만큼 최대 체력 증가. 이후 현재 최대 체력의 15% 만큼 체력 회복, 현재 체력이 30% 미만인 경우 10% 추가 회복 (스테이지 당 최대 3회, 스테이지 종료 시 최대 체력 원복)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/17
07E005 ,히스클리프,홀리데이,ZAYIN,보통,보통,보통,견딤,취약,보통,취약,0,0,0,3,0,0,2,0,0,0,5,0,0,3,0,0,1,0,0,2,"자신에게 상태 이상/디버프가 있고, 메인 공격 대상/자신을 공격하는 대상이 버프를 가지고 있으면, 스킬/코인 효과로 자신/적에게 부여하는 화상, 출혈, 진동, 파열, 침잠 +1, 스킬/코인 효과로 자신이 얻는 호흡, 충전 횟수 +1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/18
07E006 ,히스클리프,구속,WAW,보통,보통,취약,취약,내성,내성,견딤,0,2,0,0,4,2,3,0,3,0,0,6,3,5,0,0,5,0,0,5,"전투 시작 시 자신의 스킬을 포함한 공명이 4 이상이라면 자신과 공명에 포함된 모든 아군에게 공격 레벨 증가 3, 방어 레벨 증가 3 부여, 해당 공명이 완전 공명이라면 2 추가 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/77
07E007,히스클리프,흉탄,TETH,취약,취약,보통,보통,보통,내성,보통,1,0,0,0,0,3,2,2,0,0,0,0,5,3,0,1,0,0,2,0,"전투 시작 시 최대 공명이 3 이상이면, 호흡 3 얻음",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/80
08E001 ,이스마엘,작살박이,ZAYIN,보통,취약,취약,보통,견딤,보통,보통,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"승률이 우세한 합 진행 시 합 위력 +2, 불리한 합 진행 시 합 위력 -2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/24
08E002 ,이스마엘,홍염살,HE,내성,견딤,취약,보통,취약,보통,보통,4,2,0,0,0,0,1,6,3,0,0,0,0,2,0,1,0,0,0,1,화상이 부여된 적에게 공격 적중 시 무작위 적 3명에게 화상 1 부여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/25
08E003 ,이스마엘,분홍욕망,TETH,취약,내성,보통,보통,보통,취약,보통,1,4,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,1,0,합 승리 시 분홍 리본 1 부여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/26
08E004 ,이스마엘,카포테,TETH,내성,취약,보통,보통,취약,보통,보통,2,2,1,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0,0,1,공격하는 대상의 체력이 30% 미만일 때 분노 속성 스킬 피해량 +20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/27
08E005 ,이스마엘,맹목,WAW,취약,보통,견딤,취약,보통,내성,내성,2,0,0,0,3,3,3,3,0,0,0,5,5,5,0,5,0,0,5,0,"턴 종료 시 자신을 제외한 체력이 가장 낮은 아군 1명 침잠 5 부여, 다음 턴에 신속 1, 공격 레벨 증가 3 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/28
08E006 ,이스마엘,날갯짓,HE,보통,견딤,보통,내성,보통,취약,취약,0,1,0,3,0,2,0,0,2,0,5,0,3,0,1,0,0,3,0,0,"스킬 사용 시 메인 타겟이 이번 턴에 체력 피해를 받은 상태라면, 적중 시 자신의 체력이 최대인 경우 피해량 5 ~ 10% 증가, 자신의 체력이 감소한 상태인 경우 체력 2 ~ 5 회복 (턴 당 7회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/62
09E001 ,로쟈,던져지는 것,ZAYIN,보통,보통,보통,보통,취약,견딤,취약,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"정신력 회복 효율 +1, 정신력 감소 효율 -1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/39
09E002 ,로쟈,4번째 성냥불,HE,내성,보통,취약,보통,취약,보통,견딤,3,0,0,0,0,2,1,5,0,0,0,0,3,2,1,0,0,3,0,0,화상이 부여된 적 처치 시 최대 체력의 (분노 완전 공명 수)%만큼 체력 회복,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/40
09E003 ,로쟈,얼음다리,TETH,취약,보통,취약,보통,내성,보통,보통,0,0,0,0,5,0,3,0,0,0,0,8,0,5,0,0,3,0,0,1,"침잠이 5 이상 부여된 적에게 공격 적중 시 속박, 공격 위력 감소 1 부여 (적마다 최대 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/41
09E004 ,로쟈,들끓는 부식,TETH,보통,취약,보통,내성,보통,보통,취약,0,0,2,0,2,2,0,0,0,3,0,3,3,0,0,0,2,0,2,0,관통 속성 스킬로 앞면 적중 시 속박 1 부여 (턴 당 최대 2회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/42
09E005 ,로쟈,집행,HE,보통,취약,견딤,취약,보통,내성,보통,0,0,4,0,0,3,0,0,0,6,0,0,5,0,2,0,0,0,0,3,아군 중 현재 체력 비율이 가장 낮은 아군 1명 적이 흐트러질 때마다 최대 체력의 4% 만큼 체력 회복 (턴 당 1회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/43
09E006 ,로쟈,핏빛욕망,WAW,견딤,내성,취약,보통,취약,보통,내성,1,3,0,0,0,3,3,2,5,0,0,0,5,5,1,0,0,5,0,0,자신의 스킬 패널에서 가장 왼쪽에 위치한 스킬의 출혈 위력 부여량 ×2 (턴 당 1회),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/64
10E001 ,싱클레어,지식나무의 가지,ZAYIN,취약,보통,보통,견딤,보통,취약,보통,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"한 스킬에서 공격 적중 시 이전에 판정한 코인과 다른 면의 코인이 나오면 정신력 5 감소, 이번 턴에 피해량 증가 1 얻음 (턴 당 최대 3회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/50
10E002 ,싱클레어,다가올날,TETH,내성,보통,취약,보통,취약,보통,보통,3,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,1,"공격, 반격 스킬로 적 처치 시 처치한 스킬의 E.G.O 자원 5개 획득",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/51
10E003 ,싱클레어,평생 스튜,TETH,보통,내성,취약,보통,취약,보통,보통,3,2,0,1,0,0,0,5,3,0,2,0,0,0,0,0,3,0,0,3,"뒷면 적중 시 대상이 적인 경우, 화상 1 부여",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/52
10E004 ,싱클레어,초롱,HE,취약,취약,보통,내성,견딤,보통,보통,0,1,0,4,0,2,0,0,2,0,6,0,3,0,3,0,0,3,0,0,"전투 시작 시 자신을 메인 타겟으로 공격하는 대상 처치 시, 최대 체력의 (3 + 탐식 완전 공명 수)% 만큼 체력 회복",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/53
10E005 ,싱클레어,9장 2절,HE,내성,견딤,보통,보통,취약,취약,보통,2,5,0,0,0,0,1,3,8,0,0,0,0,2,0,0,3,0,0,3,색욕 속성 스킬 앞면 적중 시 자신과 대상에게 정신력 피해 4. 색욕 속성 스킬로 처치 시 색욕 E.G.O 자원 5개 획득,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/54
10E006 ,싱클레어,낮은울음,ZAYIN,보통,보통,보통,취약,견딤,보통,취약,0,1,2,0,3,0,0,0,2,3,0,5,0,0,0,0,1,0,0,1,"턴 시작 시 자신에게 보호막이 있다면 보호 1 얻음, 자신에게 울음 방울이 적용 중이라면 보호 1 추가로 얻음",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/65
11E001 ,오티스,토 파토스 마토스,ZAYIN,보통,취약,보통,보통,보통,견딤,취약,0,0,2,0,0,2,0,0,0,3,0,0,3,0,0,1,0,0,0,0,"매 턴마다 한 번도 피격 당하지 않을 경우, 다음 턴에 피해량 증가 1 얻음 (최대 3회 중첩)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/34
11E002 ,오티스,공즉시색,TETH,보통,내성,취약,보통,취약,보통,보통,0,2,2,0,0,2,0,0,3,3,0,0,3,0,1,0,0,1,0,0,매 턴마다 색욕 피해량 증가 1 얻음. 자신의 정신력이 0 미만이면 추가로 1 더 얻음.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/35
11E003 ,오티스,검은줄기,HE,취약,보통,보통,내성,견딤,취약,보통,0,2,0,3,1,4,0,0,3,0,5,2,6,0,0,5,0,0,5,0,"매 턴마다 관통 피해량 증가 1 얻음. 앞면 적중 시 다음 턴에 속박 1 부여, 파열 횟수 1 증가",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/36
11E004 ,오티스,여우비,TETH,취약,취약,내성,보통,보통,보통,보통,0,0,2,2,1,0,0,0,0,3,3,2,0,0,0,1,0,0,1,0,"합 종료 시 호흡 2 얻음. 흐트러짐 상태가 되면 보호 2 얻고, 흐트러짐 상태가 해제될 때 호흡 5 얻음",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/37
11E005 ,오티스,홀리데이,HE,내성,보통,보통,견딤,취약,보통,취약,0,2,1,0,0,3,2,0,3,2,0,0,5,3,0,0,3,0,0,4,"자신을 제외한 아군에게 스킬/코인 효과로 버프 부여 시 무작위 적 1명에게 화상, 출혈, 진동, 파열, 침잠 1 중 무작위 하나 부여 (턴 당 최대 5회, 적 1명 당 최대 5회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/38
11E006 ,오티스,구속,WAW,보통,보통,취약,취약,내성,내성,견딤,1,1,4,0,0,4,0,2,2,6,0,0,6,0,0,0,5,0,0,5,"공격 종료 시 대상이 흐트러졌거나 사망했으면 오만 E.G.O 자원 +1, 나머지 속성의 E.G.O 자원 중 무작위 1종 +1 (턴 당 최대 3회)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/78
11E007,오티스,차원찢개,HE,취약,견딤,보통,보통,취약,보통,내성,1,0,0,0,3,1,4,2,0,0,0,5,2,6,3,0,0,3,0,0,충전 횟수 최대치 +5. (충전-1)당 충전 횟수를 소모하는 스킬의 피해량 +2%(최대 10%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/81
12E001 ,그레고르,어느날 갑자기,ZAYIN,보통,보통,견딤,보통,취약,보통,취약,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,턴 시작 시 체력이 25% 미만이면 체력을 15 회복하고 보호 2 얻음. 해당 효과 발동 시 자신을 제외한 무작위 아군과 적 1명 정신력 감소 효율 +2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://baslimbus.info/ego/10
